"genotype","BLUP_combined","trait","Genotype","dev_year"
"L053",3.71429733977504,"lodging","L053",2027
"L054",2.39620150467941,"lodging","L054",2027
"L055",3.8706854561547,"lodging","L055",2014
"L056",3.66256564776182,"lodging","L056",2016
"L057",2.76208063951987,"lodging","L057",2017
"L058",3.24330189389357,"lodging","L058",2018
"L059",3.5068142137299,"lodging","L059",2018
"L060",2.66436231869406,"lodging","L060",2018
"L061",2.65512148356761,"lodging","L061",2019
"L062",3.04358271102401,"lodging","L062",2020
"L063",2.76215956830625,"lodging","L063",2019
"L064",3.07676444431057,"lodging","L064",2019
"L065",2.60333512793811,"lodging","L065",2019
"L066",2.75779544392923,"lodging","L066",2019
"L067",3.35053512287726,"lodging","L067",2019
"L068",1.89998741750092,"lodging","L068",2019
"L069",2.34466107284715,"lodging","L069",2019
"L070",2.09983267718313,"lodging","L070",2019
"L071",2.94612845916388,"lodging","L071",2019
"L072",3.7732696970825,"lodging","L072",2019
"L073",3.88797167795683,"lodging","L073",2006
"L074",3.82490186047715,"lodging","L074",2006
"L075",4.00588833570597,"lodging","L075",2006
"L076",3.33654055100208,"lodging","L076",2014
"L077",2.31782813587849,"lodging","L077",2007
"L078",3.78963777854188,"lodging","L078",2008
"L079",3.76604398693549,"lodging","L079",2008
"L080",3.64762630984906,"lodging","L080",2009
"L081",3.9632241122029,"lodging","L081",2008
"L082",3.97922890792656,"lodging","L082",2009
"L083",2.92957572405455,"lodging","L083",2010
"L084",2.46065470239346,"lodging","L084",2013
"L085",3.05904946174629,"lodging","L085",2014
"L086",3.8749873327037,"lodging","L086",2013
"L087",3.04363678652474,"lodging","L087",2013
"L088",3.12384824413688,"lodging","L088",2007
"L089",2.9523139062868,"lodging","L089",2016
"L090",3.51640559488153,"lodging","L090",2016
"L091",2.78523836799736,"lodging","L091",2016
"L092",3.50884029052436,"lodging","L092",2017
"L093",2.09385792351287,"lodging","L093",2018
"L094",2.64205376008329,"lodging","L094",2017
"L095",3.09536041359125,"lodging","L095",2020
"L096",3.50398556491071,"lodging","L096",2020
"L097",2.25399835972265,"lodging","L097",2019
"L098",3.12063365332192,"lodging","L098",2019
"L099",3.51163105715233,"lodging","L099",2019
"L100",3.43966944452141,"lodging","L100",2019
"L001",887.448633941067,"YLD","L001",2023
"L002",962.252356149273,"YLD","L002",2025
